zpid,streetAddress,city,latitude,longitude,bedrooms,bathrooms,price,yearBuilt,homeStatus,homeType,livingArea,lotSize,daysOnZillow,zestimate,rentZestimate,lastSoldPrice,dateSold,taxAssessedValue,hoaFee,propertyTaxRate
49996172,112 Charlesberry Ln,Chapel Hill,35.935074,-78.99854,3.0,3.0,557700,1987.0,OTHER,SINGLE_FAMILY,2066.0,13242.0,2833.0,557700.0,2613.0,307000.0,2017-06-22,271626.0,0.0,0.72
65064311,100 Westover Ct,Chapel Hill,35.94455,-79.02474,2.0,2.0,271800,1984.0,OTHER,TOWNHOUSE,1060.0,871.0,3206.0,271800.0,2173.0,110000.0,2016-06-14,154700.0,225.0,0.84
50041430,1 Heather Ct,Chapel Hill,35.93563,-79.017586,4.0,3.0,530900,1980.0,OTHER,SINGLE_FAMILY,1893.0,6098.0,2755.0,530900.0,2657.0,315500.0,2017-09-08,274800.0,0.0,0.84
50039831,409 N Elliott Rd,Chapel Hill,35.93594,-79.03988,4.0,3.0,926600,1964.0,OTHER,SINGLE_FAMILY,3316.0,27442.0,2237.0,926600.0,4245.0,516000.0,2019-02-08,517800.0,0.0,0.84
50040648,104 New Castle Dr,Chapel Hill,35.92064,-79.00668,3.0,3.0,1497000,1988.0,OTHER,SINGLE_FAMILY,2766.0,25264.0,2904.0,1497000.0,3401.0,507500.0,2017-04-12,1107400.0,0.0,0.72
50037199,421 Westwood Dr #A,Chapel Hill,35.9021,-79.05973,5.0,5.5,1748800,1935.0,OTHER,SINGLE_FAMILY,5116.0,23958.0,5779.0,1748800.0,6152.0,1038000.0,2009-05-29,803800.0,0.0,0.84
50031230,104 Brandywine Rd,Chapel Hill,35.86731,-79.081764,4.0,2.0,452500,1965.0,OTHER,SINGLE_FAMILY,2061.0,27878.0,8237.0,452500.0,2645.0,210000.0,2002-09-05,254500.0,0.0,0.84
50039630,410 N Estes Dr,Chapel Hill,35.934307,-79.042336,3.0,2.0,654800,1964.0,OTHER,SINGLE_FAMILY,1761.0,30491.0,1791.0,654800.0,2627.0,430000.0,2020-04-29,408100.0,0.0,0.84
50039056,125 Woodshire Ln,Chapel Hill,35.93721,-79.05322,5.0,2.5,726000,1993.0,OTHER,SINGLE_FAMILY,2560.0,10823.0,6783.0,726000.0,3122.0,429000.0,2006-08-29,410300.0,0.0,0.84
50041639,305 Plum Ln,Chapel Hill,35.930695,-79.01645,5.0,3.0,641800,1962.0,OTHER,SINGLE_FAMILY,2697.0,20255.0,5397.0,641800.0,4858.0,312000.0,2010-06-15,338000.0,0.0,0.84
50036635,214 N Graham St,Chapel Hill,35.912277,-79.064995,5.0,2.0,670700,1945.0,OTHER,SINGLE_FAMILY,1852.0,7405.0,5044.0,670700.0,3719.0,348000.0,2011-06-03,322100.0,0.0,0.84
49996554,170 Summerwalk Cir #170,Chapel Hill,35.896984,-79.0099,2.0,2.0,248100,1985.0,OTHER,CONDO,975.0,,4243.0,248100.0,1511.0,110000.0,2013-08-12,134891.0,0.0,0.72
60075943,408 Hogan Woods Cir,Chapel Hill,35.951576,-79.09501,5.0,5.0,1147100,2002.0,OTHER,SINGLE_FAMILY,4552.0,21344.0,3892.0,1147100.0,5248.0,625000.0,2014-07-29,674200.0,70.0,0.84
50047642,2004 Whitmore Cir,Chapel Hill,35.95394,-79.08231,4.0,4.0,826400,1995.0,OTHER,SINGLE_FAMILY,3680.0,20037.0,1768.0,826400.0,3806.0,585000.0,2020-05-22,443900.0,0.0,0.84
50047782,202 Chesapeake Way,Chapel Hill,35.950153,-79.07447,3.0,2.5,570000,1998.0,OTHER,SINGLE_FAMILY,2086.0,10454.0,9485.0,570000.0,2756.0,195000.0,1999-04-06,329600.0,0.0,0.84
50034028,203 Lake Hogan Farm Rd,Chapel Hill,35.947598,-79.09726,5.0,4.0,1167400,1998.0,OTHER,SINGLE_FAMILY,3580.0,30491.0,5004.0,1167400.0,4378.0,636500.0,2011-07-13,711100.0,75.0,0.84
50042506,104 Ascot Pl,Chapel Hill,35.94003,-79.0051,3.0,2.0,450600,1990.0,OTHER,SINGLE_FAMILY,1609.0,7405.0,3668.0,450600.0,2292.0,240000.0,2015-03-10,242500.0,0.0,0.84
71899589,375 Umstead Dr #A,Chapel Hill,35.922314,-79.06506,2.0,1.5,250000,1981.0,OTHER,CONDO,1088.0,43560.0,1988.0,250000.0,1501.0,157000.0,2019-10-15,148900.0,0.0,0.84
50035692,202 Calderon Dr,Chapel Hill,35.886837,-79.06414,5.0,5.0,920000,1997.0,RECENTLY_SOLD,SINGLE_FAMILY,3029.0,7405.0,328.0,934000.0,4212.0,920000.0,2024-05-01,578900.0,545.0,0.84
49995404,424 Nottingham Dr,Chapel Hill,35.921562,-79.00078,4.0,5.0,1400000,1999.0,SOLD,SINGLE_FAMILY,3989.0,30927.0,707.0,1704000.0,4903.0,1400000.0,2023-04-18,900748.0,100.0,0.72
92420806,212 Legends Way,Chapel Hill,35.955334,-79.10096,3.0,3.0,674100,2009.0,OTHER,SINGLE_FAMILY,2588.0,4356.0,2947.0,674100.0,2501.0,392000.0,2017-02-28,404300.0,0.0,0.84
60067446,203 Rowe Rd,Chapel Hill,35.960392,-79.06585,4.0,4.0,843700,2001.0,OTHER,SINGLE_FAMILY,3469.0,10454.0,7559.0,843700.0,4265.0,437500.0,2004-07-14,515900.0,0.0,0.84
